Season,Level,League,Division,Finish,Wins,Losses,Win%,GB,Post-season,Awards
1998,MLB,NL,West,5th,65,97,0.401,33,,
1999,MLB,NL,West ^,1st,100,62,0.617,—,Lost NLDS (Mets) 3–1[4],Randy Johnson (CYA)[8]
2000,MLB,NL,West,3rd,85,77,0.525,12,,Randy Johnson (CYA)[8]
2001,MLB †,NL *,West ^,1st,92,70,0.568,—,Won NLDS (Cardinals) 3–2,"Randy Johnson (CYA, co-WS MVP)"
,,,,,,,,,Won NLCS (Braves) 4–1,Curt Schilling (co-WS MVP)[8]
,,,,,,,,,Won World Series (Yankees) 4–3[5] †,
2002,MLB,NL,West ^,1st,98,64,0.605,—,Lost NLDS (Cardinals) 3–0[6],Randy Johnson (CYA)[8]
2003,MLB,NL,West,3rd,84,78,0.519,16½,,
2004,MLB,NL,West,5th,51,111,0.315,42,,
2005,MLB,NL,West,2nd,77,85,0.475,5,,
2006,MLB,NL,West,4th,76,86,0.469,12,,Brandon Webb (CYA)[8]
2007,MLB,NL,West ^,1st,90,72,0.556,—,Won NLDS (Cubs) 3–0,Bob Melvin (MOY)[9]
,,,,,,,,,Lost NLCS (Rockies) 4–0[7],
2008,MLB,NL,West,2nd,82,80,0.506,2,,
2009,MLB,NL,West,5th,70,92,0.432,25,,
2010,MLB,NL,West,5th,65,97,0.401,27,,
2011,MLB,NL,West ^,1st,94,68,0.58,—,Lost NLDS (Brewers) 3–2,Kirk Gibson (MOY)
2012,MLB,NL,West,3rd,81,81,0.5,13,,
2013,MLB,NL,West,2nd,81,81,0.5,11,,
2014,MLB,NL,West,5th,64,98,0.395,30,,
2015,MLB,NL,West,3rd,79,83,0.488,13,,
2016,MLB,NL,West,4th,69,93,0.426,22,,
2017,MLB,NL,West,2nd ¤,93,69,0.574,11,Won NLWC (Rockies),Torey Lovullo (MOY)
,,,,,,,,,Lost NLDS (Dodgers) 3–0,
2018,MLB,NL,West,3rd,82,80,0.506,9½,,
