Season,League,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards[4]
1968–69,NBA,—,—,Western,7th,16,66,0.195,39,,
1969–70,NBA,—,—,Western,3rd,39,43,0.476,9,Lost Division Semifinals (Lakers) 4–3[8],
1970–71,NBA,Western,5th,Midwest,3rd,48,34,0.585,18,,
1971–72,NBA,Western,5th,Midwest,3rd,49,33,0.598,14,,
1972–73,NBA,Western,6th,Pacific,3rd,38,44,0.463,22,,
1973–74,NBA,Western,8th,Pacific,4th,30,52,0.366,17,,
1974–75,NBA,Western,8th,Pacific,4th,32,50,0.39,16,,
1975–76,NBA,Western,3rd,Pacific,3rd,42,40,0.512,17,Won Conference Semifinals (SuperSonics) 4–2,Alvan Adams (ROY)
,,,,,,,,,,Won Conference Finals (Warriors) 4–3,
,,,,,,,,,,Lost NBA Finals (Celtics) 4–2[9],
1976–77,NBA,Western,10th,Pacific,5th,34,48,0.415,19,,
1977–78,NBA,Western,3rd,Pacific,2nd,49,33,0.598,9,Lost First Round (Bucks) 2–0[10],Walter Davis (ROY)
1978–79,NBA,Western,3rd,Pacific,2nd,50,32,0.61,2,Won First Round (Trail Blazers) 2–1,
,,,,,,,,,,Won Conference Semifinals (Kings) 4–1,
,,,,,,,,,,Lost Conference Finals (SuperSonics) 4–3[11],
1979–80,NBA,Western,4th,Pacific,3rd,55,27,0.671,5,Won First Round (Kings) 2–1,
,,,,,,,,,,Lost Conference Semifinals (Lakers) 4–1[12],
1980–81,NBA,Western,1st,Pacific,1st,57,25,0.695,—,Lost Conference Semifinals (Kings) 4–3[13],
1981–82,NBA,Western,5th,Pacific,3rd,46,36,0.561,11,Won First Round (Nuggets) 2–1 ,
,,,,,,,,,,Lost Conference Semifinals (Lakers) 4–0[14],
1982–83,NBA,Western,3rd,Pacific,2nd,53,29,0.646,5,Lost First Round (Nuggets) 2–1[15],
1983–84,NBA,Western,6th,Pacific,4th,41,41,0.5,13,Won First Round (Trail Blazers) 3–2,
,,,,,,,,,,Won Conference Semifinals (Jazz) 4–2 ,
,,,,,,,,,,Lost Conference Finals (Lakers) 4–2[16],
1984–85,NBA,Western,8th,Pacific,3rd,36,46,0.439,26,Lost First Round (Lakers) 3–0[17],
1985–86,NBA,Western,9th,Pacific,3rd,32,50,0.39,30,,
1986–87,NBA,Western,9th,Pacific,5th,36,46,0.439,29,,
1987–88,NBA,Western,9th,Pacific,4th,28,54,0.341,34,,
1988–89,NBA,Western,3rd,Pacific,2nd,55,27,0.671,2,Won First Round (Nuggets) 3–0,Kevin Johnson (MIP)
,,,,,,,,,,Won Conference Semifinals (Warriors) 4–1,Cotton Fitzsimmons (COY)
,,,,,,,,,,Lost Conference Finals (Lakers) 4–0[18],Eddie Johnson (SMOY)
1989–90,NBA,Western,5th,Pacific,3rd,54,28,0.659,9,Won First Round (Jazz) 3–2 ,
,,,,,,,,,,Won Conference Semifinals (Lakers) 4–1,
,,,,,,,,,,Lost Conference Finals (Trail Blazers) 4–2[19],
1990–91,NBA,Western,4th,Pacific,3rd,55,27,0.671,8,Lost First Round (Jazz) 3–1[20],Kevin Johnson (JWKC)
1991–92,NBA,Western,4th,Pacific,3rd,53,29,0.646,4,Won First Round (Spurs) 3–0 ,
,,,,,,,,,,Lost Conference Semifinals (Trail Blazers) 4–1[21],
1992–93,NBA,Western,1st,Pacific,1st,62,20,0.756,—,Won First Round (Lakers) 3–2 ,Charles Barkley (MVP)
,,,,,,,,,,Won Conference Semifinals (Spurs) 4–2,
,,,,,,,,,,Won Conference Finals (SuperSonics) 4–3,
,,,,,,,,,,Lost NBA Finals (Bulls) 4–2[22],
1993–94,NBA,Western,3rd,Pacific,2nd,56,26,0.683,7,Won First Round (Warriors) 3–0,
,,,,,,,,,,Lost Conference Semifinals (Rockets) 4–3[23],
1994–95,NBA,Western,2nd,Pacific,1st,59,23,0.72,—,Won First Round (Trail Blazers) 3–0,
,,,,,,,,,,Lost Conference Semifinals (Rockets) 4–3[24],
1995–96,NBA,Western,7th,Pacific,4th,41,41,0.5,23,Lost First Round (Spurs) 3–1[25],
1996–97,NBA,Western,7th,Pacific,4th,40,42,0.488,17,Lost First Round (SuperSonics) 3–2[26],
1997–98,NBA,Western,4th,Pacific,3rd,56,26,0.683,5,Lost First Round (Spurs) 3–1[27],Danny Manning (SMOY)
1998–99[b],NBA,Western,7th,Pacific,3rd,27,23,0.54,8,Lost First Round (Trail Blazers) 3–0[28],
1999–00,NBA,Western,5th,Pacific,3rd,53,29,0.646,14,Won First Round (Spurs) 3–1 ,Rodney Rogers (SMOY)
,,,,,,,,,,Lost Conference Semifinals (Lakers) 4–1[29],
2000–01,NBA,Western,6th,Pacific,3rd,51,31,0.623,5,Lost First Round (Kings) 3–1[30],
2001–02,NBA,Western,10th,Pacific,6th,36,46,0.439,25,,
2002–03,NBA,Western,8th,Pacific,4th,44,38,0.537,15,Lost First Round (Spurs) 4–2[31],Amar'e Stoudemire (ROY)
2003–04,NBA,Western,13th,Pacific,6th,29,53,0.354,27,,
2004–05,NBA,Western,1st,Pacific,1st,62,20,0.756,—,Won First Round (Grizzlies) 4–0,Steve Nash (MVP)
,,,,,,,,,,Won Conference Semifinals (Mavericks) 4–2 ,Mike D'Antoni (COY)
,,,,,,,,,,Lost Conference Finals (Spurs) 4–1[32],
2005–06,NBA,Western,2nd,Pacific,1st,54,28,0.659,—,Won First Round (Lakers) 4–3,Steve Nash (MVP)
,,,,,,,,,,Won Conference Semifinals (Clippers) 4–3,Boris Diaw (MIP)
,,,,,,,,,,Lost Conference Finals (Mavericks) 4–2[33],
2006–07,NBA,Western,2nd,Pacific,1st,61,21,0.744,—,Won First Round (Lakers) 4–1,Leandro Barbosa (SMOY)
,,,,,,,,,,Lost Conference Semifinals (Spurs) 4–2[34],Steve Nash (JWKC)
2007–08,NBA,Western,6th,Pacific,2nd,55,27,0.671,2,Lost First Round (Spurs) 4–1[35],Grant Hill (SPOR)
2008–09,NBA,Western,9th,Pacific,2nd,46,36,0.561,19,,Shaquille O'Neal (AMVP)
2009–10,NBA,Western,3rd,Pacific,2nd,54,28,0.659,3,Won First Round (Trail Blazers) 4–2,Grant Hill (SPOR)
,,,,,,,,,,Won Conference Semifinals (Spurs) 4–0,
,,,,,,,,,,Lost Conference Finals (Lakers) 4–2[36],
2010–11,NBA,Western,10th,Pacific,2nd,40,42,0.488,17,,
2011–12 [c],NBA,Western,10th,Pacific,3rd,33,33,0.5,17,,
2012–13,NBA,Western,15th,Pacific,5th,25,57,0.305,32,,
2013–14,NBA,Western,9th,Pacific,3rd,48,34,0.585,9,,Goran Dragić (MIP)
2014–15,NBA,Western,10th,Pacific,3rd,39,43,0.476,28,,
2015–16,NBA,Western,14th,Pacific,4th,23,59,0.28,50,,
2016–17,NBA,Western,15th,Pacific,5th,24,58,0.293,43,,
2017–18,NBA,Western,15th,Pacific,5th,21,61,0.256,37,,
